Date,Predicted_Units
2026-02-01,884.6470297619048
2026-02-02,850.739702380952
2026-02-03,943.5732698412698
2026-02-04,785.9606567460318
2026-02-05,864.5960101010103
2026-02-06,768.5143968253968
2026-02-07,861.7902343073595
2026-02-08,771.3466944444441
2026-02-09,789.6367224025973
2026-02-10,790.8344366883116
2026-02-11,711.5148573232324
2026-02-12,752.958875180375
2026-02-13,737.4520358946605
2026-02-14,743.5973116883117
2026-02-15,772.2292918470417
2026-02-16,744.8101489898991
2026-02-17,751.5028156565656
2026-02-18,735.2573097041848
2026-02-19,759.2264585137085
2026-02-20,716.6318712121212
2026-02-21,731.4140259740261
2026-02-22,787.5525517676766
2026-02-23,739.1962720057719
2026-02-24,752.0987362914861
2026-02-25,740.1593493867243
2026-02-26,753.5762839105338
2026-02-27,714.3632997835498
2026-02-28,729.5854545454546
2026-03-01,791.8907898629149
2026-03-02,714.9334406565658
